                                     | Core 0    
  Instructions                       |   15715837
  Cycles                             |   25651976
  IPC                                |       0.61
  Time (ns)                          |    9643600
  Idle time (ns)                     |        181
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    2309620
  num incorrect                      |      14126
  misprediction rate                 |      0.61%
  mpki                               |       0.90
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1754822
    num misses                       |        141
    miss rate                        |      0.01%
    mpki                             |       0.01
  D-TLB                              |           
    num accesses                     |    6403447
    num misses                       |       2737
    miss rate                        |      0.04%
    mpki                             |       0.17
  L2 TLB                             |           
    num accesses                     |       2878
    num misses                       |        441
    miss rate                        |     15.32%
    mpki                             |       0.03
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1754822
    num cache misses                 |     157974
    miss rate                        |      9.00%
    mpki                             |      10.05
  Cache L1-D                         |           
    num cache accesses               |    6403447
    num cache misses                 |     227021
    miss rate                        |      3.55%
    mpki                             |      14.45
  Cache L2                           |           
    num cache accesses               |     411840
    num cache misses                 |     384995
    miss rate                        |     93.48%
    mpki                             |      24.50
  Cache L3                           |           
    num cache accesses               |     411840
    num cache misses                 |     384995
    miss rate                        |     93.48%
    mpki                             |      24.50
DRAM summary                         |           
  num dram accesses                  |     461917
  average dram access latency (ns)   |     155.64
  average dram queueing delay        |     102.21
  average dram bandwidth utilization |     40.00%
Coherency Traffic                    |           
  num loads from dram                |     176941
  num loads from dram cache          |          0
  num loads from remote cache        |          0
